Assembly,public protest or demonstration,,Algeria,12/12/1989,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Assembly,public protest or demonstration,,Andorra,12/22/2006,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Assembly,public protest or demonstration ,for children under 18,Uruguay,5/23/2015,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Assembly,public protest or demonstration,,Argentina,9/5/1984,American Convention,upon deposit,American Convention on Human Rights,Inter-American Commission on Human Rights,http://www.ijrcenter.org/regional/inter-american-system/#Inter-American_Commission_on_Human_Rights
Association,freedom to join or create organizations,,Albania,1/4/2008,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Association,freedom to join or create organizations,,Algeria,12/12/1989,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Association,freedom to join or create organizations,on the basis of gender,Uruguay,10/26/2001,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Association,freedom to join or create organizations,on the basis of disability,Andorra,4/10/2014,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Association,freedom to join or create organizations,on the basis of disability,Angola,6/18/2014,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Association,freedom to join or create organizations,regarding enforced disappearance,Uruguay,12/23/2010,Art. 31 CED declaration,30 days after deposit,International Convention for the Protection of All Persons from Enforced Disappearance,UN Committee on Enforced Disappearances,http://www.ijrcenter.org/un-treaty-bodies/committee-on-enforced-disappearances/
